Iteration,test_preds,estimated_params,posterior_means
27,"[-1.2580135, 1.1473528, 1.0978209, 0.586117, 0.66018546, 0.70010626, 0.8142164, 1.0754557, 1.1599724, 0.4449483, 0.6694034, 0.76224655, 0.8147686, 1.0994586, 0.9604468, 1.0030546, 0.9761087, 0.82962126, -0.98179907, -0.9889943, -0.6684766, -0.597916, -0.6145378, -0.76222295, -0.93913233, -1.2662783, -0.5684459, -0.6132197, -0.6846807, -0.88314986, -0.81681687, -0.9021278, -0.8828215, -0.9270788, -0.7807066, 1.1016396, 0.9170954, 0.7267015, 0.5786283, 0.7109001, 0.9052833, 1.225277, 1.1560137, 0.72993636, 0.63907015, 0.6496272, 1.1593267, 0.749658, 0.8621684, 0.7329697, 0.82036215, 0.83631116]","[2.6895778, 2.706645, 4.395017, 0.48244524, 3.118629, 3.0796852, 4.8844833, 3.2461853, 3.7395022, 2.9318385]","[2.456749200820923, 3.945103168487549, 4.540788650512695, 0.4269174337387085, 2.76320219039917, 4.205214023590088, 4.890213489532471, 3.276820421218872, 3.672508478164673, 2.382223129272461]"
28,"[-1.4706093, 0.4317412, 0.53902364, 1.3158096, 1.2513156, 1.1560197, 0.073161125, 0.5229878, 0.57446796, 1.1479746, 1.1430933, 1.2836888, -0.03217869, 1.125438, 1.3441119, 1.3713586, 1.0037227, 1.0750883, -0.48775092, -0.608924, -1.1513524, -1.0058317, -0.8873115, -0.25081947, -0.49880984, -0.7131963, -1.1267025, -1.0812703, -1.0897007, -0.23797946, -0.9000449, -1.1244695, -1.145891, -0.9792326, -0.9693328, 0.5695023, 0.6791693, 1.167312, 1.0183212, 0.95752746, 0.4640156, 0.47273004, 0.7645986, 1.4831352, 1.4072119, 1.0938743, 0.7461352, 0.96722144, 1.0481881, 0.91901356, 0.91336703, 1.072586]","[4.8091083, 4.1726966, 1.8656428, 2.2269294, 4.5637, 4.6226697, 2.221194, 3.7869697, 4.687169, 3.9522235]","[4.834526538848877, 4.164445400238037, 1.8374361991882324, 2.3000290393829346, 4.55598258972168, 4.648149013519287, 2.144843339920044, 3.969499111175537, 4.667576789855957, 4.004388809204102]"
29,"[1.6166382, 0.53944004, 0.4412072, -3.8382974, -1.462047, -1.3650701, 0.2760579, 0.30541894, 0.53193057, -3.8506088, -0.8568636, -1.5247743, 0.37766173, -0.0065082572, -0.8227467, -0.6025386, -0.32560286, -0.2698717, -0.46747845, -0.10889941, 4.757895, 1.37692, 1.0289537, -0.3776245, -0.43592912, -0.052769624, 4.4332185, 1.0653905, 1.289087, -0.45099506, 0.033066675, 0.29469025, 0.46787333, 0.056399398, 0.16253388, 0.358234, -0.3239266, -4.744152, -1.358331, -0.83177024, 0.39442506, 0.6654803, -0.47449413, -3.7701933, -1.4291137, -0.87649596, 0.44123074, -0.33779985, 0.10103011, -0.14719829, 0.13400751, -0.16819291]","[0.15390918, 0.86586785, 0.2096, 2.1657271, 1.2418481, 1.0614724, 3.1004944, 1.7457956, 0.2057, 0.79156995]","[1.4038519859313965, 1.6049212217330933, 3.3260228633880615, 2.373229742050171, 2.098815441131592, 0.2670711278915405, 0.5785682201385498, 2.439826726913452, 1.6812026500701904, 2.2386844158172607]"
30,"[-0.23413844, 0.21594399, 0.0747282, -0.22795182, -1.0094703, -0.9051899, 0.78760844, 0.022362452, 0.20992625, -0.14460939, -0.95943683, -0.80158067, 1.0283587, 0.72392786, 0.78722215, 0.65234923, 1.1492904, 0.87465477, -0.3219531, -0.11998331, 0.32992938, 0.7934722, 0.5749436, -0.64045304, -0.25818223, -0.34826934, 0.050332844, 0.84314656, 0.6538466, -0.772841, -0.7382261, -0.7214953, -0.82168806, -0.90198666, -0.8030172, 0.4924648, 0.19021052, -0.68073475, -0.8483791, -0.54803175, 0.48046508, 0.6772268, 0.61202794, 0.035787, -0.90115255, -0.66219556, 0.35107183, 0.90171766, 0.63982, 0.88124925, 0.5886494, 0.83016324]","[1.6072448, 2.2749317, 2.7001154, 2.9625614, 1.0743176, 1.9205418, 1.9134313, 2.6356902, 3.2381132, 1.0270644]","[1.668081521987915, 2.974693536758423, 4.652312755584717, 1.1711987257003784, 1.3943802118301392, 1.51967453956604, 1.551999807357788, 0.7024506330490112, 2.8396825790405273, 1.293552041053772]"
31,"[-0.70450336, 0.41885152, 0.56982756, 0.87413543, 0.9242627, 0.78574246, -0.12462, 0.47914216, 0.50433075, 0.67077386, 0.8315221, 0.85598683, -0.3267302, 0.21916746, -0.01882527, 0.106724225, -0.26670337, -0.0543863, -0.44268677, -0.6083917, -0.9074794, -0.79425627, -0.64930004, -0.06129705, -0.42752185, -0.54906183, -0.68646884, -0.78443795, -0.75160694, 0.05341528, -0.09201017, 0.05180912, 0.072342694, 0.15345031, 0.022020718, 0.43828344, 0.5888269, 1.1073905, 0.81145436, 0.6253844, 0.20544559, 0.28708804, 0.44372025, 0.7391638, 0.89423794, 0.6809485, 0.38457936, -0.17987835, -0.17535762, -0.2930038, -0.023557935, -0.19431926]","[3.2078273, 1.9009556, 2.5417998, 2.45696, 3.1589673, 3.306994, 2.9720988, 2.3589044, 2.4650936, 2.7719193]","[2.138880729675293, 2.300577163696289, 1.6421133279800415, 3.636035680770874, 1.7047122716903687, 3.6697802543640137, 3.127469539642334, 2.490889549255371, 2.0278003215789795, 1.6772021055221558]"
32,"[1.4381763, -3.9203498, -4.005615, 0.61203533, 1.0303787, 0.9995929, -0.28717417, -3.8508217, -4.152034, 1.0647229, 0.7216938, 0.59633243, -0.56043094, -2.364395, -0.7798623, -1.1152261, -1.0313305, -1.0916704, 4.726564, 4.6050353, -0.32927495, -0.8399854, -0.785135, 0.34999552, 5.060012, 3.3803482, -0.58335376, -0.8107799, -0.8203542, 0.6689309, 1.5975562, 0.96118593, 1.1215503, 1.2323092, 1.0509601, -3.9368348, -4.820881, 0.082828596, 0.9128004, 0.8750639, -0.94632924, -4.1148252, -3.6374156, -0.20943666, 1.0798196, 1.1471212, -1.3765203, -0.4150801, -0.99421054, -0.8168668, -1.3913808, -0.9917349]","[1.5233388, 3.7176106, 2.084488, 1.8721896, 2.4759946, 3.5552242, 0.15492235, 0.62954795, 0.74055237, 1.4880435]","[4.473507881164551, 2.328181505203247, 3.16257905960083, 1.186498999595642, 3.256122350692749, 3.675291061401367, 0.12583088874816895, 0.6654648780822754, 0.8699657917022705, 1.3180432319641113]"
33,"[-0.40281743, 0.8321891, 0.7987576, -0.56133026, -0.66491437, -0.59380877, 0.6760087, 0.63136464, 0.8751973, -0.46808976, -0.48606554, -0.43715224, 0.81280327, 0.8170142, 0.7486698, 0.6947973, 0.8797308, 0.74163777, -0.7911252, -0.7157536, 0.40025038, 0.4918031, 0.3526498, -0.6468987, -0.6721351, -0.92355, 0.34109002, 0.5018976, 0.37505525, -0.71102923, -0.70780224, -0.82264024, -0.80249184, -0.772847, -0.736908, 1.0007126, 0.6211841, -0.46715948, -0.52527, -0.36007068, 0.7641223, 1.0155257, 0.8212224, -0.43190902, -0.7428571, -0.4665631, 0.6104171, 0.7294316, 0.8708648, 0.84014285, 0.64955413, 0.82152545]","[1.4479685, 2.262005, 2.6860752, 2.0355256, 1.7367103, 2.1441967, 2.2170963, 1.6050806, 2.5081604, 2.3866026]","[1.421663761138916, 1.2706650495529175, 2.715012311935425, 1.9045932292938232, 2.1068906784057617, 2.4134035110473633, 2.245525360107422, 2.064988374710083, 3.9626779556274414, 1.5164101123809814]"
34,"[-0.8378113, 0.39043814, 0.3513528, 0.2942826, 0.3100926, 0.36242104, 0.6165189, 0.27071303, 0.4522154, 0.20882173, 0.29439074, 0.41500705, 0.5909897, 0.74398875, 0.6604857, 0.7081498, 0.7941934, 0.69481045, -0.4542489, -0.36105666, -0.32888964, -0.37036183, -0.39577, -0.59412587, -0.39390713, -0.5459654, -0.36118317, -0.35596773, -0.44187546, -0.6296111, -0.6389949, -0.58733124, -0.67352957, -0.6966662, -0.6430072, 0.57503515, 0.34641054, 0.26717386, 0.38026804, 0.447165, 0.6801021, 0.6259466, 0.6417882, 0.5577015, 0.38296866, 0.43036792, 0.7509396, 0.6352523, 0.48553714, 0.56033576, 0.5266452, 0.60321665]","[2.4261112, 1.5715312, 1.972168, 1.9961506, 2.3639367, 2.400233, 2.4826984, 2.5550842, 2.6696358, 1.8967489]","[2.4569966793060303, 1.831659197807312, 2.1888632774353027, 2.354179620742798, 2.220269203186035, 3.2977371215820312, 2.6861162185668945, 2.828636407852173, 1.958143949508667, 1.5199637413024902]"
35,"[-0.71969706, 0.34131137, 0.41668698, 0.1019939, 0.6106069, 0.59198326, -0.044169925, 0.40112972, 0.4496085, 0.011012483, 0.7066958, 0.5926647, -0.16290894, 0.45395544, 0.46547863, 0.54488015, 0.22706129, 0.40314656, -0.3715283, -0.41518566, -0.41569418, -0.5407196, -0.5308141, -0.1453893, -0.38783166, -0.35664952, -0.1127079, -0.6495064, -0.58935595, -0.09790837, -0.4334587, -0.5934929, -0.47308555, -0.39619207, -0.46142727, 0.32684156, 0.3179263, 0.8938941, 0.5244895, 0.5375759, 0.2884285, 0.27035826, 0.17524733, -0.026077166, 0.69844675, 0.61443543, 0.4649113, 0.3940054, 0.6820434, 0.39885992, 0.549591, 0.50349975]","[2.8062878, 2.8271031, 2.6584818, 2.6683836, 3.0670006, 2.498381, 2.7356844, 2.6230001, 2.844598, 2.7884724]","[2.944450616836548, 0.9771763682365417, 1.8204073905944824, 2.5773961544036865, 2.4607791900634766, 3.2268524169921875, 1.9322450160980225, 1.9620779752731323, 3.2618367671966553, 3.1149706840515137]"
36,"[1.5153986, -3.608223, -3.5458112, 0.6190363, -1.6174703, -1.589597, 0.7722448, -3.778254, -3.6151094, 1.3357841, -1.8198853, -1.985462, 1.0900351, -1.7144583, 0.039158113, -0.93496, 0.38428906, -0.31014237, 3.5466826, 3.033963, -0.12766163, 1.3860176, 1.1256285, -0.48306644, 4.328343, 2.3224027, -0.6832218, 1.3164392, 1.5388337, -0.45535707, 0.54318184, 0.048410315, 0.3766834, 0.25666425, 0.1666045, -2.3036966, -2.7633514, -0.54796344, -1.4548484, -0.7536228, 0.0003186979, -2.6416748, -2.2413542, -0.059607077, -0.9208073, -0.7463781, -0.9186986, 0.505203, -0.11511919, 0.33440447, -0.8555773, -0.12211922]","[3.6264606, 4.4126525, 4.9356, 4.0830097, 0.3036433, 2.1217172, 0.48511395, 0.34084225, 2.1471584, 1.2751698]","[0.4138755798339844, 0.5812562108039856, 0.3947286605834961, 4.661078453063965, 0.5559076070785522, 2.7485461235046387, 0.10485847294330597, 2.830390691757202, 3.8484947681427, 1.2473341226577759]"
37,"[-0.050726645, 0.8325413, 0.73461396, -0.26159588, 0.44404513, 0.14605759, -1.4612181, 1.1463821, 0.8109969, -0.5545954, 0.4656021, 0.45280233, -1.5075794, 0.69682974, -0.5375587, 0.061365508, -0.5712119, -0.16881011, -0.660631, -0.5871989, 0.017646965, -0.4614223, -0.14010918, 1.2533965, -0.8024148, -0.74827206, 0.24629639, -0.31560078, -0.23042603, 1.063093, -0.22267659, 0.45009884, 0.11276085, -0.045695417, 0.15843344, 0.41092798, 0.33876082, 0.09908402, 0.53382903, -0.17728664, -1.2934239, 0.34375528, 0.51934195, 0.022134254, -0.005567222, -0.2430842, -0.40842897, -0.35654977, -0.56958425, -0.6227371, 0.3733995, -0.48146027]","[2.2004852, 2.673695, 0.3550122, 1.8918887, 1.8932534, 2.0046525, 2.77144, 2.0414865, 1.9563532, 1.6997565]","[1.1301923990249634, 4.554223537445068, 0.40495505928993225, 2.840338706970215, 4.528568744659424, 4.1482110023498535, 3.088894844055176, 0.7143325209617615, 3.0941343307495117, 3.86942195892334]"
38,"[0.5707294, -0.8841327, -1.037857, -0.8948217, 0.5864791, 0.5417945, -1.3029151, -0.5901939, -0.9914353, -0.91421694, 0.6891773, 0.5294746, -1.4787178, -1.0219202, -0.7860771, -0.4589007, -1.2117051, -0.7047996, 0.95516527, 1.1936847, 0.7636044, -0.53240144, -0.4354644, 1.1379049, 0.65502965, 1.6156801, 0.80196065, -0.5031133, -0.48176435, 1.1616367, 0.5875231, 0.47525254, 0.48630622, 0.7427992, 0.51119125, -1.4255097, -1.474531, -0.59139746, 0.5946181, 0.2580339, -1.2411189, -1.5127274, -1.7302186, -0.7357397, 0.31356767, 0.33510277, -0.9580706, -0.37910226, -0.024170704, -0.27816233, 0.052417506, -0.2871186]","[2.179067, 1.2268829, 2.3135142, 1.6547002, 2.040389, 2.387382, 1.3518835, 1.1526215, 2.6949778, 2.3217595]","[2.083360195159912, 1.5244648456573486, 2.964221715927124, 2.787776231765747, 2.6558425426483154, 2.7913200855255127, 2.1653923988342285, 2.929060459136963, 2.1474249362945557, 2.2755277156829834]"
39,"[-0.81838995, 1.0157015, 1.0815829, 0.7929652, -0.08528053, -0.08799373, 0.84358674, 0.8332028, 1.0904835, 0.74437153, -0.13268574, -0.16139789, 0.8451302, 0.7282215, 0.50214934, 0.27407032, 0.6655633, 0.4237021, -0.93947625, -1.0468552, -0.7396703, -0.007777039, -0.081393965, -0.78790563, -0.81308573, -1.3198065, -0.7432622, -0.08707662, 0.024294727, -0.8010265, -0.5180349, -0.42489213, -0.27395558, -0.45020527, -0.40547755, 1.2252058, 1.1033475, 0.6026568, -0.10541595, 0.15779965, 1.0003488, 1.1893882, 1.3366797, 0.8279428, 0.21729313, 0.09391665, 0.88541836, 0.35251462, 0.24575476, 0.2203503, 0.20760505, 0.29164386]","[4.5450063, 3.4146268, 3.6804109, 4.2541876, 1.7546109, 2.874841, 4.4323683, 3.6532385, 2.6754122, 2.543755]","[4.872612953186035, 1.8986865282058716, 3.6234982013702393, 3.9249842166900635, 1.450972080230713, 2.9240105152130127, 4.376194000244141, 3.886528968811035, 2.855747938156128, 1.3042426109313965]"
40,"[-0.451867, 0.38164017, 0.43927675, 0.6515557, 0.21236558, 0.054205857, -2.1691108, 0.8460717, 0.49431694, 0.533267, 0.2594203, 0.2427951, -2.3173597, 1.1891938, 0.65904284, 0.78781366, -0.009611674, 0.7177799, -0.3638374, -0.44192746, -0.6334303, -0.26927996, -0.027137063, 1.9267567, -0.5047975, -0.537599, -0.6946427, -0.40474388, -0.08709538, 2.2676904, -0.7247001, -0.58464247, -0.5706069, -0.45976847, -0.63716483, 0.17515427, 0.3701088, 0.5902767, 0.2080233, -0.34786746, -1.4439207, -0.24165937, 0.558074, 1.0515784, 0.53437704, -0.17212206, -1.292664, 0.44355708, 0.4263317, 0.22477092, 0.79064405, 0.51516974]","[3.9303772, 3.2258215, 0.22033189, 1.8890277, 2.1974995, 2.7043233, 2.7543023, 2.797104, 2.6142688, 1.463389]","[3.597395658493042, 2.478360414505005, 0.1221013069152832, 2.1416738033294678, 3.2538814544677734, 2.9757165908813477, 2.6687893867492676, 4.159886360168457, 4.520746231079102, 4.532942771911621]"
41,"[-0.42000824, 0.47901174, 0.43958136, -0.22913313, 0.2912581, 0.4380843, 1.0732008, 0.27859712, 0.40609878, -0.28236297, 0.2901065, 0.43381786, 1.0469202, -0.030402381, -0.061656903, 0.05035834, 0.2565734, -0.026703319, -0.5028673, -0.4587827, -0.026349641, -0.3462765, -0.4557767, -0.90454936, -0.43092316, -0.36042386, 0.24635868, -0.15524527, -0.42995322, -0.946911, -0.07890309, -0.118361354, -0.16047065, -0.15770194, -0.06552018, 0.57702935, 0.4036199, 0.27153906, 0.3851863, 0.5529952, 1.0430545, 0.74836695, 0.19920951, -0.55974114, -0.1705359, 0.31536487, 0.9462164, 0.031635087, 0.19818613, 0.21016759, 0.025170285, 0.05979345]","[2.0260546, 0.999431, 4.5846386, 3.3341155, 2.6424031, 1.0888063, 3.470355, 1.1211423, 1.4074547, 2.486125]","[2.214291572570801, 2.9998302459716797, 4.4481635093688965, 3.920761823654175, 2.1287176609039307, 3.925144672393799, 3.2053329944610596, 2.4808294773101807, 1.917055368423462, 3.274623394012451]"
42,"[-0.09219057, 1.1220201, 1.0713718, 0.54309046, -0.3689598, -0.3554356, -0.34173888, 1.1455346, 1.0680989, 0.39474007, -0.41518483, -0.4772588, -0.39353013, 0.25646514, -0.43049484, -0.57898325, -0.553025, -0.40864792, -0.940639, -0.9592788, -0.46705374, 0.26210514, 0.22603342, 0.15586299, -0.8920355, -1.2328289, -0.5713303, 0.15835893, 0.45788243, 0.19809315, 0.0637644, 0.4820169, 0.69218135, 0.37523103, 0.3494192, 0.9729449, 0.88557935, 0.16471112, -0.4034706, -0.38027957, -0.20305702, 0.81548, 1.2176895, 0.9041699, 0.010808206, -0.41462448, -0.05577524, -0.5606807, -0.6379398, -0.6512764, -0.20403184, -0.53515035]","[2.9475708, 3.405985, 4.308219, 1.5780901, 3.375684, 2.0632732, 4.5773816, 3.4925246, 1.2182926, 2.1798835]","[2.0596392154693604, 3.933286428451538, 1.9458906650543213, 0.5583773255348206, 2.9460947513580322, 3.409592390060425, 4.556335926055908, 4.335339069366455, 1.8978172540664673, 2.0664262771606445]"
43,"[-0.54419744, -1.3409989, -1.3150703, -0.032895725, 0.80751044, 0.8665895, 0.7392785, -1.4802114, -1.2842015, 0.19008951, 0.82373226, 0.86340815, 0.6913528, 0.20994322, 0.8757344, 0.9312205, 0.9993945, 0.8433494, 1.1553615, 1.2483052, -0.094765, -0.7391252, -0.77217364, -0.64120156, 1.1450711, 1.4739959, -0.002885311, -0.7031648, -0.9186526, -0.6366671, -0.50159436, -0.79395205, -0.9300056, -0.80237657, -0.78189725, -1.0094305, -1.1092036, 0.45433205, 0.85464555, 0.9989901, 0.64099133, -0.82106775, -1.3197774, -0.5311353, 0.67378294, 1.0805639, 0.55445075, 0.7916273, 0.76885086, 0.85851145, 0.5169862, 0.80867076]","[2.085181, 2.9902751, 2.7698574, 1.8587056, 1.8698524, 4.0993547, 1.0675088, 2.641004, 2.9923286, 3.2504752]","[2.1245648860931396, 0.9661892056465149, 0.9211239814758301, 0.27328813076019287, 4.808175563812256, 4.329278945922852, 1.8851321935653687, 0.4938177466392517, 1.7691981792449951, 0.5724742412567139]"
44,"[-0.7888414, 0.4081945, 0.55918074, 1.0347075, 0.17582083, -0.06931771, -0.59028286, 0.6964085, 0.5024233, 1.0124656, 0.11405106, 0.23270157, -0.4881883, 0.84420425, 1.001489, 0.8838918, 0.6041461, 0.7626705, -0.33592615, -0.6437521, -0.8904153, -0.2654367, 0.0067965314, 0.4975729, -0.50410604, -0.6294276, -0.92229784, -0.1786875, -0.08953174, 0.38925767, -0.7184992, -0.9252797, -0.9083668, -0.75724065, -0.7516882, 0.104685985, 0.69410414, 0.7664741, 0.20721951, -0.25595284, -0.6982001, 0.12559202, 0.55946404, 1.0163075, 0.07831336, -0.24732593, -0.40994602, 0.74053985, 0.89122236, 0.8402283, 0.81836206, 0.83609873]","[4.355944, 2.767607, 2.7343965, 2.173325, 3.4283676, 2.7534668, 4.1001706, 1.9060433, 3.867587, 3.9631958]","[4.567162036895752, 3.2113513946533203, 2.8618369102478027, 0.3142036199569702, 1.6679582595825195, 3.2434325218200684, 4.121991157531738, 0.4781438112258911, 3.3259377479553223, 2.2039177417755127]"
45,"[0.071558736, 0.37285593, 0.28823107, -1.1909277, 0.28541258, 0.4467932, 0.9015766, 0.06973163, 0.37187093, -1.4167397, 0.4326337, 0.3173649, 0.74370706, -0.42568013, -0.8109573, -0.49986425, -0.39440784, -0.5455326, -0.41899222, -0.13335581, 0.9180334, -0.30679837, -0.49934617, -0.8414037, -0.26372153, -0.17310664, 1.0971687, -0.3505154, -0.45261934, -0.79204327, 0.39144415, 0.609864, 0.6161131, 0.50030196, 0.47214264, 0.4912986, -0.098980695, -0.7900937, 0.3432489, 0.6698034, 1.0954705, 0.5729047, 0.02673667, -0.867118, 0.26318246, 0.58323634, 1.0173647, -0.6036251, -0.40012866, -0.5321264, -0.48557737, -0.50361836]","[1.2269171, 1.7821505, 2.4831414, 1.5706602, 2.9368424, 3.1461542, 2.9271514, 2.225488, 1.3957387, 2.704949]","[0.22527359426021576, 1.945756196975708, 3.0599365234375, 1.6363681554794312, 1.4762083292007446, 3.321962594985962, 1.3364216089248657, 3.229442834854126, 2.442514181137085, 2.503325939178467]"
46,"[-0.62700194, -0.17202774, -0.1762419, -0.08072737, 0.12034429, 0.20814553, 0.5587083, -0.09834265, -0.19207071, 0.109613895, 0.21210936, 0.13280244, 0.58634585, 0.6295845, 0.79075605, 0.71833324, 0.8482084, 0.7742482, 0.052771155, -0.025825327, 0.03689518, -0.17631108, -0.31672767, -0.56298167, -0.07761751, 0.09204011, -0.14350826, -0.3121248, -0.30939934, -0.5716861, -0.64475363, -0.8114213, -0.71493316, -0.7374311, -0.7344281, -0.13472693, 0.12146756, -0.16271144, 0.15656474, 0.44172937, 0.6580623, 0.19808276, -0.30038118, 0.04355677, 0.3998988, 0.49687552, 0.5398588, 0.7426371, 0.823391, 0.6861809, 0.5756928, 0.77135795]","[3.209006, 2.9692688, 3.7716503, 2.964353, 3.3442795, 3.009202, 2.9409606, 3.3814425, 3.5004864, 3.1809716]","[2.9682793617248535, 2.0166525840759277, 3.2104928493499756, 3.326192617416382, 3.454725980758667, 1.7399895191192627, 3.339020013809204, 4.534763336181641, 3.9284377098083496, 3.248419761657715]"
47,"[2.6861327, -0.09719428, -0.03543518, 0.77715695, 0.7125773, 0.5806354, -0.60332984, -0.08822018, -0.34136793, 0.47417933, 0.41232795, 0.42821485, -0.98974895, -3.4753075, -3.4915307, -3.384994, -3.941677, -3.8788886, 0.08301936, -0.019835867, -0.74517983, -0.6362222, -0.45661497, 0.4786683, 0.18413529, 0.59721774, -0.5069833, -0.46686783, -0.36227393, 0.8152487, 4.617092, 4.061721, 3.6744547, 4.290201, 4.9106073, -0.37205216, -0.041955497, 0.81993276, 0.60516655, 0.2709237, -0.6625596, -0.7588151, -0.38366887, 0.5952415, 0.51286983, 0.21813826, -0.7244614, -4.143176, -3.9623547, -4.143781, -4.05405, -3.8985827]","[3.9840868, 2.245983, 1.5479442, 1.3720922, 2.8881056, 2.8951585, 1.5462438, 2.9533806, 0.19187438, 0.6056765]","[4.009556293487549, 2.23630690574646, 1.5356756448745728, 1.3857874870300293, 2.9030544757843018, 2.8771355152130127, 1.5409849882125854, 2.966463088989258, 0.19211626052856445, 0.6058492660522461]"
48,"[-0.8032387, 1.0932993, 1.0722283, 0.8885353, 0.42952222, 0.520811, 1.2438933, 0.82798356, 1.08046, 0.6830261, 0.099004865, 0.5668146, 1.2193954, 0.22915736, 0.10391387, 0.05680609, 0.3864261, -0.033945553, -0.98962975, -0.997846, -0.7857671, -0.48587257, -0.50299364, -1.0101895, -0.8208007, -1.2631011, -0.72788113, -0.13233504, -0.44764775, -1.0527737, -0.15213074, -0.04813085, -0.19730313, -0.15788102, -0.037081376, 1.2354176, 1.0042126, 0.5932259, 0.5023252, 0.595289, 1.1766365, 1.2521442, 1.2439094, 0.94114345, -0.06089649, 0.16146629, 1.041563, -0.04614371, -0.08999176, 0.2013841, -0.10034402, -0.015057454]","[3.4226773, 3.8514063, 4.973263, 3.478003, 2.4684203, 1.7546808, 4.426698, 4.278443, 1.770854, 4.071173]","[3.653057336807251, 3.212832450866699, 4.894174575805664, 3.589707374572754, 2.6004135608673096, 1.492702603340149, 4.418835163116455, 4.222751140594482, 1.7881197929382324, 3.2890732288360596]"
49,"[1.4033388, -1.593482, -1.7383976, -1.9093329, -0.51845884, -0.5668442, -4.286158, -0.71989834, -1.462409, -1.4652474, 0.010521522, -0.4194985, -4.004574, 0.6584552, 0.87056834, 1.0563594, 0.1748569, 1.0988824, 1.8424885, 2.2492204, 1.5570686, 0.45305884, 0.6321326, 5.411764, 1.045396, 2.4739752, 1.482117, 0.09388503, 0.68838775, 5.4050856, -0.6368231, -0.98635423, -0.949221, -0.84666103, -0.9870404, -2.7475133, -2.2099762, -0.6113384, -0.5070174, -1.2400072, -3.7341378, -2.6959682, -2.1729338, -1.9654194, -0.37266764, -0.9994652, -4.1818323, 0.68703467, 1.1187819, 0.7530997, 1.406457, 1.0867692]","[0.6844936, 0.36838543, 0.25988013, 0.44341305, 2.0017028, 2.7979228, 0.84806377, 1.2020966, 2.024018, 4.2042875]","[1.3141933679580688, 1.8951834440231323, 2.3091399669647217, 0.32917770743370056, 0.20361438393592834, 0.28614863753318787, 2.4527158737182617, 0.47012510895729065, 2.1751036643981934, 2.8266286849975586]"
50,"[-0.9064417, -0.12396519, -0.15579104, 0.041847028, 1.098906, 1.2167524, 0.9329591, -0.10717219, -0.1811471, 0.028336879, 1.1101685, 1.1803577, 0.8158553, 0.50142574, 0.52389705, 0.75030357, 0.7613896, 0.5725993, -0.023058595, 0.023990389, -0.1869228, -0.88858783, -0.9771054, -0.8516849, -0.1180654, 0.16394114, -0.09512698, -0.921822, -1.1206837, -0.8917504, -0.49006227, -0.4988847, -0.58214134, -0.63860434, -0.5270572, -0.034291487, -0.012880283, 0.35465762, 0.96342266, 1.2444068, 1.0754933, 0.33211887, -0.40021214, 0.010325449, 0.9977897, 1.2852542, 1.1926997, 0.4637644, 0.42908594, 0.3622137, 0.41390216, 0.42471725]","[2.1974359, 3.1933866, 4.5848517, 3.675913, 4.0819016, 4.8337193, 1.4295706, 4.0140424, 3.4898908, 2.7608721]","[1.6970502138137817, 0.7885452508926392, 4.738508701324463, 1.663495659828186, 4.710287570953369, 3.844703435897827, 1.6276746988296509, 3.328108549118042, 3.882657766342163, 1.1470297574996948]"
51,"[1.5378369, -0.11743679, -0.07586639, 0.0025273995, -2.6876411, -2.7874928, -0.9282509, -0.16179079, -0.19537556, 0.2754707, -2.6544526, -2.8451173, -0.5314243, -0.733149, -0.37221095, -0.90312964, -0.6369311, -0.509734, 0.034775347, -0.13682579, 0.15587263, 2.9012122, 3.0934353, 0.9872589, 0.16029665, 0.08977046, -0.114480734, 2.8431597, 3.1853738, 0.99749166, 0.34045315, 0.19296668, 0.37381166, 0.55647355, 0.3109249, -0.038328152, 0.4108007, -0.42463306, -2.828961, -3.0143313, -1.449834, -0.44687614, 0.32812244, -0.26505175, -2.4969811, -2.792472, -2.0409286, -0.13075656, -0.02770678, 0.23463862, -0.21687913, -0.13082194]","[2.9175525, 2.0871575, 1.2431002, 2.0614908, 0.29033127, 1.0713017, 1.33899, 4.9507, 1.139985, 2.874828]","[3.101896286010742, 2.052929162979126, 0.35152971744537354, 3.7259140014648438, 0.26533347368240356, 1.1176490783691406, 3.9710512161254883, 2.31377911567688, 1.4726219177246094, 2.4861879348754883]"
52,"[-0.601314, 1.071477, 1.0294973, 1.1212417, 0.1614083, 0.091849856, 0.3338119, 1.0316304, 1.0046021, 0.9327406, -0.052470915, 0.10134855, 0.35846, 0.19949205, 0.051897347, -0.13557078, -0.071938194, -0.16438398, -0.90764266, -0.9893247, -0.9180294, -0.21806847, -0.12973379, -0.31206667, -0.84002197, -1.194594, -0.947963, -0.08864672, -0.06660776, -0.40176162, -0.088889256, 0.013800141, 0.045535028, -0.044358764, 0.0669017, 0.9421793, 1.0037202, 0.6620098, 0.08568343, 0.010920977, 0.112954445, 0.8451407, 1.2022867, 1.2693076, 0.08139632, -0.12972999, 0.26815984, -0.1693906, -0.14074366, 0.019333038, 0.097637236, -0.076856]","[4.289501, 3.0604982, 1.9279864, 0.9843838, 3.4285889, 3.3588822, 4.4972982, 2.7726882, 2.7882116, 2.4439113]","[4.500866889953613, 3.4117050170898438, 1.590542197227478, 1.7972580194473267, 2.6591553688049316, 2.5802526473999023, 4.511451721191406, 2.830397844314575, 2.8611419200897217, 1.862532377243042]"
